skill_a,skill_b,cooccur,meaning,relation
DevOps,Power BI,0.07,0.305,complements
Penetration Testing,Windows,0.07,0.294,complements
Power BI,Salesforce,0.07,0.303,complements
Scala,Unit Testing,0.07,0.267,complements
SQL,Stakeholder Mgmt,0.07,0.047,complements
Kafka,Unix,0.07,0.236,complements
Azure,Grafana,0.07,0.271,complements
Python,SageMaker,0.07,0.287,complements
GitHub,Spring Boot,0.07,0.287,complements
Linux,MongoDB,0.07,0.279,complements
Jenkins,PowerShell,0.07,0.429,complements
Active Directory,Incident Response,0.07,0.15,complements
Datadog,DynamoDB,0.07,0.221,complements
JavaScript,Prototyping,0.07,0.101,complements
GitHub,Kotlin,0.069,0.254,complements
Angular,Elasticsearch,0.069,0.212,complements
Flask,Pandas,0.069,0.376,complements
Data Analysis,Salesforce,0.069,0.182,complements
React,Svelte,0.069,0.703,complements
Go,Machine Learning,0.069,0.102,complements
A/B Testing,ETL,0.069,0.187,complements
Jira,Risk Management,0.069,0.35,complements
Risk Management,Splunk,0.069,0.137,complements
Confluence,Windows,0.069,0.279,complements
CSS,GCP,0.069,0.203,complements
Risk Management,Windows,0.069,0.112,complements
AWS,Flask,0.069,0.274,complements
Cybersecurity,Data Analysis,0.069,0.152,complements
Data Visualization,dbt,0.069,0.207,complements
C++,Ruby,0.069,0.475,complements
Bash,C++,0.069,0.431,complements
Distributed Systems,Hadoop,0.069,0.343,complements
Flask,REST API,0.069,0.49,complements
CISSP,Linux,0.069,0.163,complements
Oracle,Tableau,0.069,0.376,complements
CSS,Linux,0.069,0.245,complements
Airflow,Superset,0.069,0.436,complements
CI/CD,Rust,0.069,0.337,complements
Git,Hadoop,0.069,0.228,complements
Azure,DynamoDB,0.069,0.433,complements
HTML,User Research,0.069,0.253,complements
AWS,PHP,0.069,0.374,complements
CSS,GitHub,0.069,0.201,complements
Google Analytics,Power BI,0.069,0.396,complements
Deep Learning,Java,0.069,0.082,complements
Go,Hadoop,0.069,0.213,complements
GraphQL,Redis,0.069,0.441,complements
SSIS,Snowflake,0.069,0.396,complements
HTML,Windows,0.069,0.361,complements
GitHub,MongoDB,0.069,0.228,complements
Linear,Python,0.068,0.285,complements
Datadog,MySQL,0.068,0.19,complements
Java,Splunk,0.068,0.282,complements
Active Directory,Splunk,0.068,0.357,complements
CI/CD,Scala,0.068,0.266,complements
ArgoCD,CI/CD,0.068,0.363,complements
Kanban,Linux,0.068,0.258,complements
Incident Response,PowerShell,0.068,0.16,complements
Django,Kubernetes,0.068,0.219,complements
.NET,Microservices,0.068,0.332,complements
R,scikit-learn,0.068,0.451,complements
Penetration Testing,Splunk,0.068,0.264,complements
C#,PostgreSQL,0.068,0.309,complements
Kafka,Oracle,0.068,0.282,complements
GitHub,Prometheus,0.068,0.178,complements
GraphQL,Kafka,0.068,0.28,complements
DevOps,Hadoop,0.068,0.231,complements
GitHub,ServiceNow,0.068,0.236,complements
Elasticsearch,Hive,0.068,0.539,complements
Oracle,SAP,0.068,0.43,complements
AWS,VMware,0.068,0.546,complements
Linux,Spring,0.068,0.34,complements
Data Analysis,Hive,0.068,0.381,complements
Hadoop,Jenkins,0.068,0.287,complements
DevOps,DynamoDB,0.068,0.101,complements
Data Warehousing,MongoDB,0.068,0.407,complements
Informatica,Tableau,0.068,0.439,complements
GraphQL,Microservices,0.067,0.394,complements
Data Analysis,Informatica,0.067,0.241,complements
React,Swift,0.067,0.358,complements
Flask,Git,0.067,0.234,complements
Jira,Swift,0.067,0.263,complements
Flink,NoSQL,0.067,0.272,complements
Distributed Systems,Prometheus,0.067,0.156,complements
Kanban,Microservices,0.067,0.241,complements
Agile / Scrum,NumPy,0.067,-0.018,complements
GitLab,Helm,0.067,0.432,complements
SSIS,Tableau,0.067,0.398,complements
Elasticsearch,Git,0.067,0.331,complements
Airflow,MLflow,0.067,0.255,complements
Linux,Scala,0.067,0.532,complements
Data Governance,Statistical Analysis,0.067,0.216,complements
C#,PowerShell,0.067,0.382,complements
Big Data,Docker,0.067,0.227,complements
Node.js,Ruby,0.067,0.429,complements
Grafana,Rust,0.067,0.178,complements
ETL,Scala,0.067,0.374,complements
FastAPI,NumPy,0.067,0.354,complements
ETL,Java,0.067,0.301,complements
AWS,LLMs / GenAI,0.067,0.157,complements
GraphQL,NoSQL,0.067,0.326,complements
C,Git,0.067,0.37,complements
Cassandra,Linux,0.067,0.304,complements
C++,NLP,0.067,0.113,complements
Python,XML,0.067,0.491,complements
Deep Learning,Hadoop,0.067,0.381,complements
Microsoft Fabric,Spark,0.067,0.548,complements
Data Governance,Hive,0.067,0.204,complements
HTML,Salesforce,0.067,0.153,complements
Elasticsearch,Go,0.067,0.276,complements
DynamoDB,HTML,0.067,0.175,complements
Agile / Scrum,TensorFlow,0.067,0.046,complements
Airflow,MySQL,0.067,0.214,complements
Confluence,Microservices,0.067,0.243,complements
Agile / Scrum,Pandas,0.067,-0.04,complements
LLMs / GenAI,Scala,0.066,0.266,complements
Windows,XML,0.066,0.364,complements
Docker,PHP,0.066,0.242,complements
GitLab,Go,0.066,0.396,complements
Linux,Microservices,0.066,0.431,complements
FastAPI,Pandas,0.066,0.307,complements
Incident Response,Linux,0.066,0.093,complements
Machine Learning,MongoDB,0.066,0.228,complements
Docker,Vue,0.066,0.211,complements
Confluence,React,0.066,0.273,complements
Jira,MongoDB,0.066,0.151,complements
ArgoCD,DevOps,0.066,0.381,complements
CI/CD,Snowflake,0.066,0.085,complements
Big Data,Elasticsearch,0.066,0.31,complements
Data Modeling,Excel,0.066,0.356,complements
Machine Learning,React,0.066,0.172,complements
MySQL,XML,0.066,0.415,complements
Django,Git,0.066,0.259,complements
Data Governance,SSIS,0.066,0.175,complements
LLMs / GenAI,SageMaker,0.066,0.394,complements
Confluence,JSON,0.066,0.358,complements
AWS,Pandas,0.066,0.075,complements
Dynamics 365,Power BI,0.066,0.427,complements
Databricks,SageMaker,0.066,0.463,complements
NumPy,R,0.066,0.482,complements
Agile / Scrum,NLP,0.066,0.025,complements
BigQuery,ETL,0.066,0.219,complements
CISSP,VMware,0.066,0.059,complements
AWS,NumPy,0.066,0.113,complements
Cybersecurity,Zero Trust,0.066,0.56,complements
Jira,PostgreSQL,0.066,0.208,complements
MongoDB,Ruby,0.066,0.377,complements
Grafana,Java,0.066,0.231,complements
C++,HTML,0.066,0.335,complements
PHP,Redis,0.066,0.316,complements
Git,Go,0.065,0.426,complements
Data Pipeline,Microsoft Fabric,0.065,0.372,complements
Hadoop,SAS,0.065,0.144,complements
JSON,Kubernetes,0.065,0.179,complements
Kanban,Kotlin,0.065,0.19,complements
CI/CD,PHP,0.065,0.345,complements
DevOps,Elasticsearch,0.065,0.192,complements
Kafka,Looker,0.065,0.318,complements
MongoDB,Terraform,0.065,0.248,complements
Kubernetes,PowerShell,0.065,0.211,complements
Data Warehousing,Statistical Analysis,0.065,0.368,complements
Pandas,Spark,0.065,0.175,complements
DynamoDB,Spring,0.065,0.181,complements
MongoDB,XML,0.065,0.414,complements
Kubernetes,Oracle,0.065,0.186,complements
Datadog,Go,0.065,0.311,complements
GitHub,Swift,0.065,0.244,complements
SIEM,Windows,0.065,0.312,complements
Data Analysis,Unit Testing,0.065,0.344,complements
Ansible,SQL,0.065,0.177,complements
Kubernetes,Snowflake,0.065,0.257,complements
NLP,NoSQL,0.065,0.003,complements
GitLab,MySQL,0.065,0.264,complements
Java,Rust,0.065,0.464,complements
C#,Jenkins,0.065,0.272,complements
Kafka,Splunk,0.064,0.303,complements
JavaScript,Terraform,0.064,0.425,complements
Airflow,Tableau,0.064,0.433,complements
SageMaker,TensorFlow,0.064,0.428,complements
Software Architecture,TypeScript,0.064,0.157,complements
Hive,Node.js,0.064,0.108,complements
Git,Ruby,0.064,0.357,complements
Data Analysis,Redshift,0.064,0.232,complements
Spark,Unit Testing,0.064,0.093,complements
Oracle,Snowflake,0.064,0.464,complements
ArgoCD,Jenkins,0.064,0.538,complements
Firewalls,Risk Management,0.064,0.201,complements
Jira,Kafka,0.064,0.235,complements
Salesforce,Workday,0.064,0.575,complements
MySQL,Vue,0.064,0.235,complements
REST API,Salesforce,0.064,0.126,complements
Angular,GraphQL,0.064,0.298,complements
JavaScript,Unix,0.064,0.371,complements
C#,NoSQL,0.064,0.206,complements
Data Analysis,TensorFlow,0.064,0.106,complements
Jira,Tableau,0.064,0.347,complements
Elasticsearch,TypeScript,0.064,0.204,complements
Kotlin,Kubernetes,0.064,0.18,complements
Go,Spark,0.064,0.325,complements
Looker,Redshift,0.064,0.519,complements
CI/CD,Hadoop,0.064,0.13,complements
Datadog,PostgreSQL,0.064,0.19,complements
GitHub,JSON,0.064,0.192,complements
Data Visualization,Java,0.064,0.181,complements
Spring Boot,jQuery,0.064,0.206,complements
Confluence,Unit Testing,0.064,0.287,complements
.NET,Vue,0.064,0.421,complements
Data Analysis,PyTorch,0.064,0.106,complements
Cassandra,DevOps,0.064,0.152,complements
Jira,MySQL,0.064,0.208,complements
Data Analysis,JavaScript,0.064,0.153,complements
DevOps,Helm,0.064,0.336,complements
Ansible,Elasticsearch,0.064,0.221,complements
CSS,Spring Boot,0.063,0.208,complements
GitHub,Ruby,0.063,0.296,complements
Cassandra,Oracle,0.063,0.325,complements
Hadoop,Oracle,0.063,0.336,complements
Spark,Terraform,0.063,0.387,complements
Flask,Kubernetes,0.063,0.199,complements
AWS,Flink,0.063,0.318,complements
Data Visualization,SSIS,0.063,0.182,complements
NetSuite,Salesforce,0.063,0.472,complements
DevOps,ServiceNow,0.063,0.375,complements
ClickHouse,Distributed Systems,0.063,0.135,complements
Airflow,SageMaker,0.063,0.207,complements
Agile / Scrum,DynamoDB,0.063,0.101,complements
Angular,Svelte,0.063,0.582,complements
Linux,Node.js,0.063,0.431,complements
Big Data,Linux,0.063,0.292,complements
ClickHouse,Grafana,0.063,0.345,complements
Data Pipeline,MySQL,0.063,0.22,complements
Agile / Scrum,MLflow,0.063,0.142,complements
Dagster,Pandas,0.063,0.228,complements
ClickHouse,Kafka,0.063,0.264,complements
Microservices,XML,0.063,0.345,complements
Excel,Salesforce,0.063,0.204,complements
Data Pipeline,Pandas,0.063,0.269,complements
Jenkins,TypeScript,0.063,0.178,complements
Jira,Spring Boot,0.063,0.234,complements
Azure,NLP,0.063,0.019,complements
MySQL,TypeScript,0.062,0.262,complements
Jira,Spring,0.062,0.311,complements
Deep Learning,Docker,0.062,0.092,complements
Data Modeling,Helm,0.062,0.106,complements
NLP,Prompt Engineering,0.062,0.47,complements
JavaScript,ServiceNow,0.062,0.345,complements
Elasticsearch,Scala,0.062,0.311,complements
ETL,NoSQL,0.062,0.244,complements
Confluence,Node.js,0.062,0.151,complements
Data Pipeline,Fivetran,0.062,0.499,complements
Prefect,Snowflake,0.062,0.403,complements
Incident Response,Zero Trust,0.062,0.194,complements
Microservices,Oracle,0.062,0.237,complements
Data Governance,dbt,0.062,0.379,complements
Incident Response,Prometheus,0.062,0.212,complements
Ansible,MySQL,0.062,0.163,complements
Docker,Snowflake,0.062,0.114,complements
Git,Swift,0.062,0.323,complements
CI/CD,ETL,0.062,0.323,complements
Dagster,Data Pipeline,0.062,0.721,complements
Hive,NLP,0.062,0.136,complements
Angular,Kanban,0.062,0.056,complements
Confluence,Spark,0.062,0.203,complements
Big Data,PyTorch,0.062,0.195,complements
Agile / Scrum,Redis,0.062,0.031,complements
NumPy,scikit-learn,0.062,0.515,complements
GraphQL,Java,0.062,0.438,complements
GCP,Unit Testing,0.062,0.06,complements
Ansible,Jira,0.062,0.465,complements
GraphQL,Kotlin,0.062,0.357,complements
Confluence,Redis,0.062,0.203,complements
Redis,Spring,0.062,0.222,complements
Ansible,Kafka,0.061,0.237,complements
Cybersecurity,GCP,0.061,0.254,complements
NoSQL,Oracle,0.061,0.424,complements
Grafana,Redis,0.061,0.27,complements
JSON,MuleSoft,0.061,0.356,complements
NoSQL,R,0.061,0.032,complements
Data Warehousing,SAS,0.061,0.361,complements
Confluence,Elasticsearch,0.061,0.316,complements
A/B Testing,User Research,0.061,0.304,complements
Data Analysis,NumPy,0.061,0.017,complements
Azure,Software Architecture,0.061,0.226,complements
Databricks,R,0.061,0.234,complements
GitLab,MongoDB,0.061,0.293,complements
Alteryx,Excel,0.061,0.417,complements
Ansible,ArgoCD,0.061,0.471,complements
Hadoop,Node.js,0.061,0.15,complements
Alteryx,Data Governance,0.061,0.238,complements
PostgreSQL,Software Architecture,0.061,0.232,complements
Angular,PHP,0.061,0.501,complements
Data Governance,SAS,0.061,0.195,complements
MuleSoft,REST API,0.061,0.43,complements
Machine Learning,PostgreSQL,0.061,0.227,complements
Cassandra,GitLab,0.061,0.304,complements
Informatica,Power BI,0.061,0.453,complements
Data Pipeline,Kubernetes,0.061,0.29,complements
Informatica,Spark,0.061,0.461,complements
Data Analysis,Kubernetes,0.061,0.074,complements
Oracle,React,0.061,0.128,complements
Python,Spring,0.061,0.356,complements
Docker,Windows,0.061,0.36,complements
Distributed Systems,Software Architecture,0.061,0.552,complements
.NET,Python,0.061,0.448,complements
Data Pipeline,Distributed Systems,0.061,0.293,complements
FastAPI,PostgreSQL,0.061,0.206,complements
Agile / Scrum,R,0.061,0.026,complements
GCP,LLMs / GenAI,0.061,0.157,complements
Data Modeling,Fivetran,0.061,0.477,complements
Redshift,SageMaker,0.061,0.262,complements
Big Data,Deep Learning,0.061,0.423,complements
CI/CD,Data Modeling,0.061,0.189,complements
Databricks,PyTorch,0.061,0.299,complements
C++,Hadoop,0.061,0.229,complements
Data Modeling,GCP,0.061,0.226,complements
Distributed Systems,Linux,0.061,0.435,complements
PostgreSQL,Vue,0.061,0.235,complements
Datadog,Java,0.061,0.259,complements
REST API,Terraform,0.061,0.383,complements
Azure,Spring Boot,0.06,0.365,complements
Databricks,SSIS,0.06,0.231,complements
Elasticsearch,GraphQL,0.06,0.397,complements
Agile / Scrum,Airflow,0.06,0.253,complements
GCP,Grafana,0.06,0.271,complements
Snowflake,Unix,0.06,0.049,complements
PHP,SQL,0.06,0.358,complements
Data Analysis,dbt,0.06,0.216,complements
Linux,React,0.06,0.25,complements
Figma,Jira,0.06,0.31,complements
Data Modeling,Prefect,0.06,0.229,complements
Cassandra,Ruby,0.06,0.214,complements
NumPy,SQL,0.06,0.095,complements
NoSQL,Tableau,0.06,0.165,complements
BigQuery,Hadoop,0.06,0.372,complements
JSON,Windows,0.06,0.359,complements
SQL,Vue,0.06,0.207,complements
Kubernetes,PHP,0.06,0.207,complements
C++,Microservices,0.06,0.265,complements
Salesforce,Tableau,0.06,0.266,complements
Flink,GCP,0.06,0.318,complements
A/B Testing,Amplitude,0.06,0.452,complements
DevOps,Redis,0.06,0.146,complements
CSS,Next.js,0.06,0.426,complements
Data Analysis,Kanban,0.06,0.254,complements
Data Visualization,NumPy,0.06,0.094,complements
Data Pipeline,Superset,0.06,0.306,complements
Data Analysis,System Design,0.06,0.237,complements
Cybersecurity,OWASP,0.06,0.43,complements
Flink,Machine Learning,0.06,0.183,complements
Jenkins,Scala,0.06,0.284,complements
Bash,Helm,0.06,0.23,complements
Alteryx,Data Modeling,0.06,0.364,complements
Data Modeling,DevOps,0.06,0.242,complements
Confluence,Kafka,0.06,0.238,complements
Elasticsearch,Svelte,0.06,0.216,complements
Angular,Redis,0.06,0.09,complements
C,Software Architecture,0.059,0.372,complements
Hive,React,0.059,0.06,complements
Data Visualization,GCP,0.059,0.219,complements
Data Warehousing,DevOps,0.059,0.226,complements
Linux,ServiceNow,0.059,0.292,complements
Distributed Systems,Ruby,0.059,0.281,complements
Git,PowerShell,0.059,0.29,complements
Distributed Systems,Unit Testing,0.059,0.375,complements
Data Modeling,SAS,0.059,0.233,complements
Data Warehousing,Excel,0.059,0.426,complements
Redis,Spark,0.059,0.357,complements
Python,Risk Management,0.059,0.05,complements
ArgoCD,GitLab,0.059,0.655,complements
Bash,MySQL,0.059,0.216,complements
CISSP,PowerShell,0.059,0.314,complements
GCP,Windows,0.059,0.501,complements
DevOps,VMware,0.059,0.349,complements
Distributed Systems,PostgreSQL,0.059,0.187,complements
MLflow,Spark,0.059,0.321,complements
GitLab,SQL,0.059,0.19,complements
Data Visualization,Scala,0.059,0.228,complements
Scala,Tableau,0.059,0.263,complements
.NET,SSIS,0.059,0.343,complements
Kotlin,Microservices,0.059,0.32,complements
A/B Testing,Looker,0.059,0.25,complements
Angular,Confluence,0.059,0.153,complements
Django,Redis,0.059,0.167,complements
Data Pipeline,Docker,0.059,0.282,complements
GitLab,REST API,0.059,0.229,complements
SQL,TensorFlow,0.059,0.042,complements
Jira,Machine Learning,0.059,0.166,complements
Azure,Spring,0.059,0.218,complements
Confluence,Machine Learning,0.059,0.262,complements
MATLAB,System Design,0.059,0.253,complements
Cassandra,Tableau,0.059,0.124,complements
Git,Grafana,0.059,0.389,complements
C++,GitHub,0.058,0.279,complements
Kotlin,Software Architecture,0.058,0.367,complements
Kanban,Node.js,0.058,0.21,complements
Snowflake,Unit Testing,0.058,0.028,complements
FastAPI,Python,0.058,0.337,complements
Go,REST API,0.058,0.42,complements
Linear,R,0.058,0.188,complements
CSS,Salesforce,0.058,0.148,complements
Confluence,Risk Management,0.058,0.247,complements
.NET,Node.js,0.058,0.268,complements
C#,Vue,0.058,0.319,complements
NumPy,Tableau,0.058,0.139,complements
Git,MATLAB,0.058,0.224,complements
DevOps,Scala,0.058,0.321,complements
Confluence,MongoDB,0.058,0.339,complements
Docker,Flink,0.058,0.173,complements
JSON,PostgreSQL,0.058,0.429,complements
Agile / Scrum,Cybersecurity,0.058,0.156,complements
Flink,SQL,0.058,0.27,complements
Distributed Systems,System Design,0.058,0.6,complements
Linux,PHP,0.058,0.468,complements
Data Governance,Flink,0.058,0.151,complements
Power BI,Stakeholder Mgmt,0.058,0.111,complements
Agile / Scrum,Splunk,0.058,0.035,complements
Big Data,Go,0.058,0.246,complements
Linux,MATLAB,0.058,0.28,complements
Databricks,NLP,0.058,0.211,complements
Big Data,TensorFlow,0.058,0.195,complements
Ansible,JavaScript,0.058,0.442,complements
Kubernetes,Pulumi,0.058,0.416,complements
Oracle,Power BI,0.058,0.415,complements
JSON,Unix,0.058,0.356,complements
Data Analysis,Docker,0.058,0.049,complements
Distributed Systems,MySQL,0.058,0.187,complements
Excel,Stakeholder Mgmt,0.057,0.058,complements
GitHub,Windows,0.057,0.168,complements
Prometheus,Redis,0.057,0.358,complements
Distributed Systems,Grafana,0.057,0.234,complements
Airflow,Fivetran,0.057,0.421,complements
Rust,TypeScript,0.057,0.414,complements
Bash,Spark,0.057,0.283,complements
Data Governance,Excel,0.057,0.154,complements
CSS,Go,0.057,0.433,complements
Data Analysis,Linux,0.057,0.099,complements
Node.js,Software Architecture,0.057,0.129,complements
DynamoDB,Oracle,0.057,0.468,complements
C++,Kanban,0.057,0.27,complements
Flask,JavaScript,0.057,0.549,complements
Active Directory,SQL,0.057,0.206,complements
.NET,Dynamics 365,0.057,0.279,complements
Docker,Kotlin,0.057,0.225,complements
Deep Learning,Linux,0.057,0.036,complements
C#,Kanban,0.057,0.186,complements
.NET,GitHub,0.057,0.297,complements
Agile / Scrum,Vue,0.057,0.035,complements
Firebase,React,0.057,0.237,complements
Kafka,Tableau,0.057,0.245,complements
Deep Learning,SQL,0.057,0.08,complements
Azure,R,0.057,0.179,complements
Data Governance,GCP,0.057,0.287,complements
Flink,Snowflake,0.057,0.346,complements
Kubernetes,VMware,0.057,0.475,complements
Elasticsearch,Linux,0.057,0.266,complements
Firebase,Node.js,0.057,0.314,complements
BigQuery,Machine Learning,0.057,0.139,complements
Hive,Looker,0.057,0.307,complements
Data Warehousing,PostgreSQL,0.057,0.258,complements
Kubernetes,Rust,0.057,0.16,complements
Data Analysis,Kafka,0.057,0.144,complements
Big Data,PostgreSQL,0.057,0.229,complements
Incident Response,Python,0.057,0.101,complements
Microsoft Fabric,Power BI,0.057,0.606,complements
MongoDB,Unix,0.057,0.22,complements
A/B Testing,Prototyping,0.057,0.324,complements
Big Data,Statistical Analysis,0.057,0.244,complements
SQL,Splunk,0.056,0.307,complements
Data Analysis,User Research,0.056,0.382,complements
Django,Node.js,0.056,0.442,complements
LangChain,NumPy,0.056,0.175,complements
GraphQL,Swift,0.056,0.272,complements
Ansible,Spring,0.056,0.378,complements
Jira,Software Architecture,0.056,0.35,complements
PostgreSQL,XML,0.056,0.415,complements
Confluence,MySQL,0.056,0.309,complements
Agile / Scrum,PHP,0.056,0.173,complements
SageMaker,Spark,0.056,0.378,complements
PowerShell,Ruby,0.056,0.329,complements
Bash,JavaScript,0.056,0.498,complements
Docker,XML,0.056,0.204,complements
Go,Hive,0.056,0.247,complements
C++,R,0.056,0.521,complements
Machine Learning,Risk Management,0.056,0.18,complements
Jupyter,Spark,0.056,0.263,complements
Data Analysis,Linear,0.056,0.242,complements
Flink,Redshift,0.056,0.345,complements
NoSQL,Software Architecture,0.056,0.198,complements
JavaScript,Rust,0.056,0.524,complements
Stakeholder Mgmt,Tableau,0.056,0.098,complements
C#,Confluence,0.056,0.269,complements
Elasticsearch,Jira,0.056,0.265,complements
SAP,SQL,0.056,0.144,complements
Firebase,GitHub,0.056,0.322,complements
Fine-tuning,Machine Learning,0.056,0.45,complements
Django,REST API,0.056,0.496,complements
Bash,Jira,0.056,0.263,complements
AWS,R,0.056,0.179,complements
Hadoop,Jira,0.056,0.115,complements
Data Pipeline,R,0.056,0.223,complements
Salesforce,XML,0.056,0.268,complements
SAS,Spark,0.056,0.246,complements
GitLab,Oracle,0.056,0.248,complements
SAP,Salesforce,0.056,0.322,complements
C++,React,0.056,0.256,complements
Spark,scikit-learn,0.056,0.331,complements
Confluence,Data Analysis,0.056,0.309,complements
PyTorch,SQL,0.056,0.042,complements
Docker,PowerShell,0.056,0.198,complements
Azure,Zero Trust,0.055,0.294,complements
Deep Learning,Kubernetes,0.055,0.134,complements
Deep Learning,XGBoost,0.055,0.329,complements
CI/CD,Swift,0.055,0.331,complements
.NET,TypeScript,0.055,0.406,complements
Java,Vue,0.055,0.326,complements
Data Visualization,Deep Learning,0.055,0.084,complements
Datadog,GCP,0.055,0.283,complements
Flask,MySQL,0.055,0.242,complements
Apache Iceberg,Spark,0.055,0.431,complements
CSS,Django,0.055,0.425,complements
Machine Learning,Vector Databases,0.055,0.265,complements
Machine Learning,Software Architecture,0.055,0.291,complements
ArgoCD,SageMaker,0.055,0.358,complements
Kanban,Swift,0.055,0.176,complements
JavaScript,Kotlin,0.055,0.62,complements
Data Warehousing,Unix,0.055,0.049,complements
Terraform,TypeScript,0.055,0.253,complements
Data Visualization,TensorFlow,0.055,0.082,complements
Kubernetes,NLP,0.055,0.082,complements
Flask,NumPy,0.055,0.362,complements
Confluence,Spring Boot,0.055,0.25,complements
Big Data,Unit Testing,0.055,0.194,complements
Angular,Django,0.055,0.528,complements
Flask,SQL,0.055,0.231,complements
AWS,Jupyter,0.055,0.197,complements
Big Data,Looker,0.055,0.278,complements
Machine Learning,System Design,0.055,0.304,complements
Terraform,VMware,0.055,0.396,complements
NoSQL,XML,0.055,0.35,complements
Azure,Elasticsearch,0.055,0.316,complements
REST API,Spark,0.055,0.143,complements
Flask,Jenkins,0.055,0.344,complements
Go,Unit Testing,0.055,0.289,complements
HTML,Kafka,0.054,0.17,complements
C++,CSS,0.054,0.345,complements
Datadog,Kotlin,0.054,0.17,complements
Databricks,Java,0.054,0.197,complements
AWS,Vue,0.054,0.113,complements
AWS Security,OWASP,0.054,0.248,complements
Machine Learning,Unix,0.054,0.094,complements
C,Windows,0.054,0.452,complements
AWS,Active Directory,0.054,0.442,complements
Kotlin,Rust,0.054,0.506,complements
NLP,SageMaker,0.054,0.385,complements
Docker,NLP,0.054,0.054,complements
Data Modeling,PostgreSQL,0.054,0.458,complements
Flink,Redis,0.054,0.373,complements
Airflow,Data Analysis,0.054,0.181,complements
LLMs / GenAI,NumPy,0.054,-0.007,complements
Data Visualization,Linear,0.054,0.211,complements
MySQL,Tableau,0.054,0.311,complements
MuleSoft,XML,0.054,0.381,complements
Grafana,PowerShell,0.054,0.272,complements
Informatica,Python,0.054,0.585,complements
Go,PHP,0.054,0.698,complements
CSS,Software Architecture,0.054,0.3,complements
AWS,MLflow,0.054,0.197,complements
Firewalls,Terraform,0.054,0.148,complements
GraphQL,Python,0.054,0.46,complements
Data Pipeline,LLMs / GenAI,0.054,0.205,complements
Confluence,Stakeholder Mgmt,0.054,0.276,complements
MATLAB,Statistical Analysis,0.054,0.269,complements
Jira,jQuery,0.054,0.123,complements
GCP,Tableau,0.054,0.224,complements
Jira,Terraform,0.054,0.334,complements
C++,Spark,0.054,0.318,complements
DevOps,ETL,0.054,0.32,complements
Kotlin,Spring Boot,0.054,0.384,complements
Databricks,Deep Learning,0.054,0.391,complements
Azure,Datadog,0.054,0.283,complements
BigQuery,Kafka,0.054,0.277,complements
GitLab,Microservices,0.054,0.341,complements
Apache Iceberg,Data Pipeline,0.054,0.326,complements
Informatica,SSIS,0.054,0.532,complements
CI/CD,Django,0.054,0.252,complements
Jenkins,Kotlin,0.054,0.156,complements
Data Warehousing,NLP,0.054,0.012,complements
Apache Iceberg,PostgreSQL,0.054,0.403,complements
Bash,Incident Response,0.053,0.097,complements
PostgreSQL,jQuery,0.053,0.234,complements
Kotlin,TypeScript,0.053,0.504,complements
Data Governance,Redshift,0.053,0.299,complements
Hadoop,React,0.053,0.034,complements
Machine Learning,Prompt Engineering,0.053,0.522,complements
AWS Security,Splunk,0.053,0.226,complements
JSON,PHP,0.053,0.384,complements
Big Data,LLMs / GenAI,0.053,0.128,complements
Penetration Testing,SOC 2,0.053,0.326,complements
Spark,Superset,0.053,0.365,complements
DevOps,Rust,0.053,0.375,complements
Active Directory,MCP,0.053,0.269,complements
Google Analytics,R,0.053,0.273,complements
Confluence,Terraform,0.053,0.276,complements
Datadog,Kafka,0.053,0.313,complements
Databricks,Hive,0.053,0.578,complements
A/B Testing,Statistical Analysis,0.053,0.386,complements
Jira,Spark,0.053,0.221,complements
Data Pipeline,NumPy,0.053,0.144,complements
AWS,Rust,0.053,0.2,complements
AWS,Informatica,0.053,0.304,complements
C,Unix,0.053,0.449,complements
DevOps,Snowflake,0.053,0.128,complements
Data Pipeline,MongoDB,0.053,0.25,complements
Burp Suite,Incident Response,0.053,0.391,complements
GraphQL,Ruby,0.053,0.469,complements
Jupyter,SageMaker,0.053,0.29,complements
Ansible,Confluence,0.053,0.363,complements
Flask,Node.js,0.053,0.345,complements
Big Data,BigQuery,0.053,0.364,complements
Data Visualization,Kafka,0.053,0.257,complements
Distributed Systems,Git,0.053,0.348,complements
Grafana,MySQL,0.053,0.271,complements
Databricks,Looker,0.052,0.377,complements
Elasticsearch,GitHub,0.052,0.252,complements
Machine Learning,REST API,0.052,0.109,complements
Linux,SIEM,0.052,0.288,complements
AWS,SageMaker,0.052,0.43,complements
CSS,Redis,0.052,0.19,complements
ETL,MongoDB,0.052,0.243,complements
Elasticsearch,GCP,0.052,0.316,complements
Metabase,Tableau,0.052,0.771,substitutes
AWS,System Design,0.052,0.251,complements
Azure,LLMs / GenAI,0.052,0.157,complements
C#,Kafka,0.052,0.198,complements
GCP,Spring Boot,0.052,0.365,complements
Azure,ServiceNow,0.052,0.449,complements
Data Analysis,SSIS,0.052,0.243,complements
Data Modeling,MySQL,0.052,0.458,complements
NLP,Statistical Analysis,0.052,0.154,complements
React,Ruby,0.052,0.373,complements
JavaScript,PowerShell,0.052,0.38,complements
Django,Machine Learning,0.052,0.127,complements
Data Pipeline,Terraform,0.052,0.39,complements
Git,Vue,0.052,0.206,complements
Data Governance,DevOps,0.052,0.211,complements
Big Data,Unix,0.052,0.276,complements
.NET,PHP,0.052,0.589,complements
NLP,Tableau,0.052,0.201,complements
Azure,Risk Management,0.052,0.072,complements
