role,role_label,job_family,postings,companies,median_salary,salary_companies,pct_senior_or_above,pct_flexible_when_stated,pct_stated_worksite,top_skills,example_title,example_company,description,summary
ddi network engineer,Ddi Network Engineer,network_infra,177,1,,0,100.0,,0.0,"DevOps, Windows, CI/CD, PowerShell, Python",Senior DDI Network Engineer,Epic,"We are seeking a DDI Network Engineer to design and implement DNS, DHCP, and IPAM strategies for our hosting infrastructure. You will manage, maintain, and scale DDI architecture for 85+ multi-tenant environments. You will reduce operational overhead and improve automation using DevOps methodologies and CI/CD tooling. You will provide consultation to the country's top healthcare organizations and engineer solutions. As part of Epic's Hosting team, you'll keep abreast of the latest technologies and work collaboratively with experts in a variety of knowledge areas to develop and maintain a robust, reliable, high-performance foundation for some of the largest healthcare organizations in the country to access our world-class software. Learn more about the team at https //careers.epic.com/Jobs/Hosting.
Desired Skills And Knowledge Areas
Background in networking fundamentals including TCP/IP, DNS, and DHCP
Experience investigating and diagnosing incidents and problems relating to DDI (Infoblox DNS, DHCP, IPAM) and related services
Experience with Windows DNS console, Infoblox, BIND, or other DNS/DHCP tools
Experience with automation and scripting languages such as Powershell, Python, and",Postings for Ddi Network Engineer do not phrase their day-to-day duties consistently enough to summarise automatically.
security analyst,Security Analyst,security,171,120,113350.0,17,33.3,45.3,31.0,"Incident Response, Cybersecurity, SIEM, Risk Management, Firewalls, Penetration Testing",Sr. Security Analyst,Neptune Technology Group,"Position Summary
As the Security Analyst, you will be responsible for ensuring the organization is effectively designing, developing, and implementing security compliance controls and solutions. You will engage with stakeholders throughout the organization, and throughout the Product Lifecycle to ensure that standard security practices are followed and implementing risk mitigations where required. The position will work closely with IT Operations, Information Technology, Commercial Software, and Engineering, along with the business to ensure there is a consistent and common approach to implementation of security and compliance management activities.
Responsibilities
Security Operations and Risk Management
Collaborate with cross-functional teams to implement compliance initiatives and security controls
Lead Security projects from ideation through deployment/delivery, while supporting day to day Security Operations
Support Neptune’s Security Operations Center (24x7x365) on overall event and incident management activities
Ensure security requirements are implemented within various stages of the Software/System/Product lifecycle process
Working with various product management teams fro","Security Analyst postings typically ask you to: Provide technical expertise regarding security-related concepts to operational teams within the department and the business. Review, investigate, and respond to real-time alerts within the environment. Review real-time and historical reports for security and/or compliance violations. Monitor online security-related resources for new and emerging cyber threats."
jde business analyst,Jde Business Analyst,product,166,3,,0,0.0,0.0,6.0,,JDE Business Analyst (Supply Chain),LATICRETE International,"Classification:
Salary
Job Description:
Are you looking for a new challenge? Passionate about innovation? Want to work for a company that values integrity, teamwork and loyalty?
At
LATICRETE International
we are driven to be a top ten construction chemical company that still values family, diversity, collaboration and invention. We’ve been in business for over 65 years, family owned/operated for three generations and are available in 100 countries.
In 2017, The Hartford Business Journal named us one of Connecticut’s Top Family Owned Companies!
We don't just make innovative, industry-leading products. We strive to connect with, engage with and improve the lives of our employees, our customers, our partners, and the global communities in which we operate.
We are seeking passionate and ambitious employees who want to make a difference not just within our organization, but within their communities and the world. If that sounds like you, then what are you waiting for? Join the family and expand your horizons!
Just some of our benefits:
Medical
Dental
Vision
401k
Tuition reimbursement
13 paid holidays in addition to paid vacation and sick time
Flexible spending
Life Insurance, AD&D and S",Postings for Jde Business Analyst do not phrase their day-to-day duties consistently enough to summarise automatically.
founding fullstack engineer,Founding FullStack Engineer,engineering,162,13,175000.0,3,0.6,100.0,95.1,"React, Python, TypeScript, Next.js, Node.js, AWS","Founding Fullstack Engineer, Seed",Recruiting from Scratch,"Who is Recruiting from Scratch :
Recruiting from Scratch is a premier talent firm that focuses on placing the best product managers, software, and hardware talent at innovative companies. Our team is 100% remote and we work with teams across the United States to help them hire. We work with companies funded by the best investors including Sequoia Capital, Lightspeed Ventures, Tiger Global Management, A16Z, Accel, DFJ, and more.
https://www.recruitingfromscratch.com/
Our Client
It has never been more expensive to acquire customers or challenging to retain them.
Our client is revolutionizing customer and community engagement through no-code Interactive Loyalty tools – helping brands, sports teams, creators tackle the challenges of customer acquisition and retention, trusted by GODIVA, BLONDISH, Market, Les Benjamins and more..
Responsibilities
Build autonomously and lead their vertical of feature and product in a fast pace over time in collaboration with the CEO, engineers, and design team
Develop, end to end lead new customer-facing features across our web apps and backends.
Scale our backend systems and build automation tools for our next million users
Configure monitoring, deploym","Founding FullStack Engineer postings typically ask you to: Design, implement, and manage robust APIs to facilitate access to fine-tuned language models, ensuring scalability and security for high-stakes applications. Build and grow our engineering organisation, setting a high bar of excellence that propels atla forward. Collaborate with other engineers and designers to build a user-friendly and intuitive platform that meets our customers' needs. Write pipelines to ingest and transform business data from dozens of sources using Python and SQL."
software architect,Software Architect,engineering,161,90,156500.0,21,45.3,78.4,31.7,"Software Architecture, Java, SQL, .NET, DevOps, CI/CD",Software Architect,"DATAMARK, Inc.","Description
Position Overview:
The Software Architect is responsible for the design, implementation, security and performance of a company’s software. The Software Architect will collaborate with members of the Software Development team and other key departments to determine functional and non-functional requirements for a new software or applications.
Primary Responsibilities:
Participate in the evaluation, selection, implementation and support of off-shelf tools to improve operational productivity and efficiency.
Promote the use of Open Source Software for areas that show it to be the best alternative.
Analyze system solution requirements in order to aid in the design of software systems.
Create comprehensive designs for systems that implement required business solution.
Define alternative solutions to current problems related to existing software systems.
Ensure that system designs are consistent and user-friendly.
Create/maintain comprehensive design documentation for assigned product(s).
Participate in establishing and pursuing the long-term technology vision for the team
Qualifications
Minimum Qualifications:
Education Requirement:
Bachelor’s degree in technical area, or equi",Software Architect postings typically ask you to: Identify and establish various architecture patterns within the application. Work with stakeholders to provide various architecture options with pros and cons. Own solution and define the architecture of the application with the impact of the application in the grand scheme of things. Provide a point of view in selecting the right set of tools and technology for the project including buy v/s build options.
network architect,Network Architect,network_infra,158,102,146800.0,14,37.3,42.2,40.5,"Firewalls, Azure, AWS, Ansible, Python, VMware",Senior Network Architect,Abidi Solutions,"Please share senior profiles for the below requirement with 14+ years of experience as Network Architect.
Its an Onsite role - NY
Job Title:
Network Architect
Location:
Brooklyn, NY
Duration:
Long Term (up to 12 Months)
Mode of Interview:
Zoom/ Microsoft Teams
Mode Working:
100% On Site at Client Location
Visa Status:
Citizen/ Green Card/ H1B
POSITION – Network Architect
Responsibilities
Asses the current data center networks supported by the DOE/DIIT
Designing and architecting enterprise data center network solutions
Designing and architecting load balancing solutions
Designing and implementing enterprise solutions involving NGFW technologies
Manage migration events to support the decommissioning of legacy equipment
Coordinate post-deployment escalations and collaborate with the DIIT teams to ensure timely resolution
Mandatory Qualifications
The successful candidate must have minimally achieved the following level of experience:
12+ years’ experience planning, designing, configuring and implementing enterprise networks (Wide Area and Data Center) using technology products such as such Cisco ASR, Cisco 9k/7k/5k, Cisco ACI, and VMware NSX.
In-depth knowledge of IP networking and web","Network Architect postings typically ask you to: Support a Cisco centric WAN, LAN, and WLAN environment. Implement networking solution to meet the business requirements and at the same time meet OTI’s Best practices guidelines. Collaborate with OTI’s Architect teams for developing operable solutions for Citywide requirements. Lead build for installing new network devices."
information technology specialist,Information Technology Specialist,security,156,6,,0,1.3,0.7,95.5,"Cybersecurity, Unix, Windows, SIEM, Risk Management, ServiceNow",Information Technology (IT) Specialist (Security - INFOSEC),Indian Health Service,"Summary
The IT Specialist (INFOSEC) will work in the Office of Information Technology, Division of Information Security located at the Headquarters of the Indian Health Service in Rockville, MD. The incumbent of this position will serve as an IT Specialist responsible for planning, developing, organizing, and coordinating IT security projects, which at times involve exceptional controversy, intensive outside interest, and significant long-range effects.
Drafting Policies And Related Standards
Provides audit liaison support to IT operations, such as the Federal Information Security Act (FISMA), Chief Financial Officer, and others as directed.
Assisting with Development of Program:
Assists in developing procedures, awareness programs, and supporting templates to aid stakeholders in developing their IHS certification and accreditation.
Participation in Surveys:
Individually or as a team member, participates in surveys, studies and other investigations of management practices and administrative operations to determine the adequacy of present systems and to improve organizational operations.
Division Support for Requirements:
Supports the division with FISMA and NIST framework requireme",Postings for Information Technology Specialist do not phrase their day-to-day duties consistently enough to summarise automatically.
platform engineer,Platform Engineer,devops,156,50,172000.0,12,91.7,79.6,34.6,"DevOps, AWS, Python, Terraform, Kubernetes, Docker",Senior Lead Platform Engineer (IAM),Jobs for Humanity,"Company Description
Jobs for Humanity is partnering with Capital One to build an inclusive and just employment ecosystem. Therefore, we prioritize individuals coming from the following communities: Refugee, Neurodivergent, Single Parent, Blind or Low Vision, Deaf or Hard of Hearing, Black, Hispanic, Asian, Military Veterans, the Elderly, the LGBTQ, and Justice Impacted individuals. This position is open to candidates who reside in and have the legal right to work in the country where the job is located.
Company Name: Capital One
Job Description
West Creek 4 (12074), United States of America, Richmond, Virginia
Senior Lead Platform Engineer (IAM)
Do you love building and pioneering in the technology space? Do you enjoy solving complex technical problems in a fast-paced, collaborative, inclusive, and iterative delivery environment? At Capital One, you'll be part of a big group of makers, breakers, doers and disruptors, who love to solve real problems and meet real customer needs. We are seeking Platform Engineers who are passionate about creating and supporting DevOps tools with emerging technologies to join our team. As a Platform Engineer, you’ll have the opportunity to be on the f","Platform Engineer postings typically ask you to: Develop quality software and web applications. Design and implement highly scalable code. Work with a diverse team of government and contractor personnel. Design sophisticated software components, services, and platforms."
application developer,Application Developer,engineering,156,105,102855.0,14,72.4,64.3,35.9,"SQL, .NET, JavaScript, HTML, AWS, Java",Sr Application Developer,Bayforce,"Role Title:
Sr. Application Developer
**NO Sponsorship or 3rd Parties for this role.
Duration:
6 month+ CTH
Location:
5 days / week on site - East Chicago, IN
Role Description:
A client in the manufacturing industry is looking for a skilled Application Developer to develop and maintain planning, quality, and logistics applications using the Microsoft web developer toolset. This person will be working directly with business management and staff to gather requirements, perform analysis and create Functional & Technical specifications. They will provide support to the business users, a team player mentality is essential to succeed in this role.
Requirements:
Experience programming in the Microsoft tech stack (.NET core, C#, ASP.net, MVC, entity framework, JS, JQuery, Angular JS, SQL Server, etc.)
8+ years' IT experience
Prior experience working directly with the business in a Systems Analyst role or similar
Plusses:
Oracle development background
Experience in any of the following:
SSIS
Power BI
Vb.net
AJAX
Bootstrap
GIT
Show more
Show less","Application Developer postings typically ask you to: Review, define, design, program and implement solutions for our core systems using third and fourth generation programming languages. Work with other technical staff and business partners to understand platforms, integration points (APIs, services) and database structures. Perform object-oriented and structured programming, depending on business need. Research, analyze, design, document, and create test plans and prototype host applications and solutions that integrate with third-party systems."
salesforce developer,Salesforce Developer,engineering,155,110,145500.0,9,61.9,65.3,46.5,"Salesforce, JavaScript, CSS, HTML, Java, SQL",Salesforce Developer,TECHOHANA,"Job Title: Salesforce Developer
About Us:
Our client is dedicated to bettering the world and is trying to improve the world. With this, our client is a non profit organization.
Role Overview:
We are seeking a skilled Salesforce Developer to join our dynamic team. As a Salesforce Developer at our client, you'll be instrumental in building and optimizing our Salesforce platform. Your expertise will contribute to the success of our business operations and enhance the experience for our customers and internal stakeholders.
Responsibilities:
Design and develop customized Salesforce solutions using Apex, Visualforce, and Lightning components to meet business requirements.
Collaborate closely with stakeholders to understand needs, propose solutions, and implement scalable Salesforce applications.
Integrate Salesforce with other systems and platforms, ensuring seamless data flow and functionality.
Maintain and enhance existing Salesforce functionalities, troubleshoot issues, and provide ongoing support.
Keep abreast of Salesforce updates, best practices, and industry trends to suggest improvements and optimizations.
Requirements:
Bachelor's degree in Computer Science, Engineering, or a rel","Salesforce Developer postings typically ask you to: Design and develop customized Salesforce solutions using Apex, Visualforce, Lightning Components, and other relevant technologies. Perform code reviews and ensure adherence to best practices, coding standards, and quality guidelines. Collaborate with other developers, architects, and administrators to integrate Salesforce with external systems, third-party applications, and data sources. Lead and contribute to the implementation of complex Salesforce projects, from design to deployment, ensuring scalability, performance, and security."
virtualization engineer,Virtualization Engineer,network_infra,153,4,,0,0.7,,0.0,"VMware, DevOps, PowerShell, Python, Windows",Virtualization Engineer,Epic,"We are looking for a VMware Engineer to join our multi-tenant, industry-leading, hosting team managing an environment of over 6000 hosts and over 65,000 virtual machines. You’ll apply your technical prowess and problem-solving skills to develop and maintain a robust, reliable, high-performance foundation for some of the largest healthcare organizations in the country to access our world-class software. Our multi-tenant, ever-growing environment scales through our code-first, DevOps focused culture. Spend more time automating and orchestrating and less time performing point-and-click tasks.
As part of Epic's hosting team, you'll enjoy opportunities to keep abreast of the latest technologies. You'll collaborate with infrastructure teams from traditional networking to storage administration to influence the design of our high-performance systems that ultimately allow healthcare providers to better do what they do best - take great care of patients. Shifted hours available. Learn more about the team at https //careers.epic.com/Jobs/Hosting.
As an Epic employee, you'll get to experience our state-of-the-art campus, eat delicious food, and improve healthcare for the world. We don't belie","Virtualization Engineer postings typically ask you to: Develop and implement virtualization strategies to optimize system performance and resource utilization. Collaborate with other engineering teams to integrate virtualized environments with existing systems. Perform routine maintenance tasks, updates, and patches to ensure system stability. Provide on-call support for critical incidents and participate in a rotation schedule."
it business analyst,IT Business Analyst,product,145,118,86528.0,15,22.8,70.8,44.8,"SQL, Excel, Jira, Data Analysis, Salesforce, Agile / Scrum",IT Business Analyst,Mallinckrodt Pharmaceuticals,"Job Title
IT Business Analyst
Requisition
JR000013790 IT Business Analyst (Open)
Location
US Specialty Brand Headquarters - USA501
Additional Locations
Bridgewater, NJ, St. Louis, MO
Summary
Job Description
The IT Business Analyst role will identify, define and document business processes and software requirements to be developed as software. They serve as a liaison between business and IT teams by facilitating communication and determining software objectives that align with stated and unstated business needs. This person will be responsible for overseeing requirements gathering, which includes eliciting, validating, and verifying the business needs and supporting system enhancements thru to production implementation. This person should be able to quickly learn new business processes and applications to support the business. Participates both hands-on and guiding 3rd parties / managed services through the software development lifecycle, including generation of functional and technical specifications, documentation of processes, generation and execution of test scripts and management of the change control process. This position may also support daily operational responsibilities fo",IT Business Analyst postings typically ask you to: Manage requirements changes through the lifecycle of product development ensuring development teams comprehend new functionalities. Partner with various regional and global functions to identify. Document and track current and future state business processes and requirements within one or more functional business areas. Create functional specifications based on business requirements.
frontend developer,Frontend Developer,engineering,143,123,125000.0,6,61.5,70.4,49.7,"JavaScript, React, CSS, HTML, Angular, TypeScript",FRONT-END DEVELOPER,S M Software Solutions Inc,"Job Title - FRONT-END DEVELOPER
Hybrid. 2-3 days to office in Downtown, Toronto.
End client: Intuit
Qualifications
BS/MS in Computer Science or related area or equivalent experience.
10+ years experience in developing front end applications and frameworks using Javascript, including concepts like asynchronous programming, module system, bundling, closures, types, and ES6.
Solid understanding of fundamental web technologies such as HTTP, REST, AJAX and JSON
Strong proficiency in HTML, CSS and JavaScript(ES6+), TypeScript and React.
Thorough understanding of REST principles and best practices of building and using RESTful APIs.
Thorough understanding of core design principles and common design patterns of JavaScript.
Familiarity and experience with common web compilation and bundling frameworks, including Webpack/Rollup/BaBel.
Familiarity with test automation frameworks like Playwright and Cypress.
Working knowledge of agile practices and principles.
Working knowledge of cloud technologies (AWS).
Powered by JazzHR
LCseSHf6V8
Show more
Show less",Frontend Developer postings typically ask you to: Assist in strategically assigning work to help meet business timelines and provide opportunities to developers to strengthen their skills. Maintain and update existing websites using common Adobe CS products and other web packages and applications. Maintain client-side HTML \ JavaScript \ JQUERY (legacy sites only) \ CSS. Work in a hands-on principal role.
jd edwards business analyst,Jd Edwards Business Analyst,product,142,3,,0,0.0,,0.0,SQL,JD Edwards Business Analyst,LATICRETE International,"Classification:
Salary
Job Description:
Are you looking for a new challenge? Passionate about innovation? Want to work for a company that values integrity, teamwork and loyalty?
At
LATICRETE International
we are driven to be a top ten construction chemical company that still values family, diversity, collaboration and invention. We’ve been in business for over 65 years, family owned/operated for three generations and are available in 100 countries.
In 2017, The Hartford Business Journal named us one of Connecticut’s Top Family Owned Companies!
We don't just make innovative, industry-leading products. We strive to connect with, engage with and improve the lives of our employees, our customers, our partners, and the global communities in which we operate.
We are seeking passionate and ambitious employees who want to make a difference not just within our organization, but within their communities and the world. If that sounds like you, then what are you waiting for? Join the family and expand your horizons!
Position Summary
This role will be responsible for analyzing/supporting JD Edwards based solutions. Facilitates the integration of technology into business operations with the goal",Postings for Jd Edwards Business Analyst do not phrase their day-to-day duties consistently enough to summarise automatically.
php developer,Php Developer,engineering,140,41,114400.0,3,84.3,69.0,20.7,"PHP, JavaScript, MySQL, HTML, CSS, Git",Senior PHP Developer,MindPal,"We are looking for
Senior PHP Developer
Responsibilities
Creation, development and maintenance of advanced web applications in PHP language
Design and implementation of back-end solutions, including integration with databases, external services and other system components
Optimising and monitoring application performance and troubleshooting application issues
Collaborate with the development team, architects and other stakeholders to understand business and technical requirements and deliver the highest quality solutions
Ensuring high quality code, adhering to best programming practices and ensuring security compliance
Requirements
Minimum 4 years of experience in PHP programming and web application development
Knowledge of advanced PHP technologies such as Laravel, Symfony, or Zend Framework
Experience working with databases such as MySQL, PostgreSQL, or MongoDB
Knowledge of front-end technologies such as HTML, CSS, JavaScript and frameworks such as Vue.js or React
Knowledge of version control tools such as Git
Ability to troubleshoot, analyse code and optimise performance
Good knowledge of spoken and written English
We Offer
Type of contract B2B
Full-time job
Remote and flexible ","Php Developer postings typically ask you to: Collaborate with multiple teams to provide technical knowhow, solutions to complex business problems. Collaborate with design and development teams to escalate unresolved issues when necessary. Collaborate with Product, Engineering, and Operational Teams to create efficient and effective software products used by millions. Work on problem-solving and mentor new team members to ensure clean code is produced."
control systems engineer,Control Systems Engineer,devops,136,65,127726.0,8,66.2,17.2,21.3,"System Design, Cybersecurity, MATLAB, VMware, C++, Data Analysis",Control Systems Engineer,"Liberty Personnel Services, Inc.","Job Details:
Control Systems Engineer
Renowned Automation Systems Integrator seeks intermediate or senior level Electrical Controls Engineer with ability to program, implement & develop PLC, HMI & SCADA systems.
BS degree in Electrical Engineering
Allen Bradley PLC, HMI programming, development
HMI/SCADA: FactoryTalk & Wonderware background
Industrial control systems design, programming, testing, commissioning and start up experience
VT SCADA experience preferred
PlantPAx
Oil & Gas/Energy, Water/Wastewater, Mission Critical, Data Center, Food & Bev and similar process controls industries
Ability to travel
I/O's
P&ID's
VFD's
Fisher ROC, ABB Totalflow
Client interaction skills
Fantastic opportunity to work for a top systems integration firm!
FT, permanent, direct hire!
Contact: Patrick Del Gaone, Liberty Personnel: PD@LibertyJobs.com
Keywords:
ControlLogix, RSLogix, SLC-500, CompactLogix,
FactoryTalk View SE, RSView, Intellution iFix, VTScada, Wonderware InTouch & ArchestrA,
Proficy Historian, iHistorian, Midstream Oil & Gas, Water/Wastewater, Energy, DeltaV, Siemens, Schneider Electric, GE Fanuc, Modicon
#Controls
#Midsenior
Show more
Show less","Control Systems Engineer postings typically ask you to: Work collaboratively with project technical leads to identify work/task brea. Create and maintain technical documentation, including design specifications, test plans, and user manuals. Troubleshoot and debug control systems, including PLCs, HMIs, and SCADA systems. Provide technical support to clients and end-users, including training and troubleshooting."
business intelligence developer,Business Intelligence Developer,data,131,94,103550.0,20,36.6,48.8,31.3,"SQL, Tableau, Power BI, ETL, Data Analysis, SSIS",Business Intelligence Developer,Insight Global,"Day to Day
We are looking for a Senior Business Intelligence Engineer with broad technical skills to dive deep into complex data projects. Reporting into the Lead BI Engineer, you collaborate with central analytic and data engineering teams that consist of Analysts, Data Engineers, and Data Architects, to support end-to-end pipelines and Business Intelligence frameworks. You will have experience developing and establishing scalable, efficient, automated processes for large-scale data analyses and have an excellent ability dealing with huge volumes of data. You will also stay informed of the latest trends and research on all aspects of BI and Analytics and will have experience delivering complex projects with broad decision-making on technical decisions and implementation.
Key Responsibilities
● You will develop automated reporting to promote data-driven decisions across our team and with partner teams.
● You will be involved in the entire development life cycle from brainstorming ideas to implementing elegant solutions to derive data insights.
● You will gather requirements, model and design solutions to support reporting analytics.
● You will work with analysts, understand require","Business Intelligence Developer postings typically ask you to: Work with a team of business stakeholders, junior Tableau developer(s), BA and PO in developing wireframes and other dashboard mockups. Provide guidance and experience to best practice in designing BI visualization. Develop design specifications when necessary. Provide education and guidance to junior BI Developer(s) in effective Tableau dashboard development."
frontend engineer,Frontend Engineer,engineering,130,73,205000.0,11,81.5,84.4,49.2,"React, JavaScript, TypeScript, CSS, HTML, GraphQL",Senior Frontend Engineer,Recruiting from Scratch,"Who is Recruiting from Scratch :
Recruiting from Scratch is a premier talent firm that focuses on placing the best product managers, software, and hardware talent at innovative companies. Our team is 100% remote and we work with teams across the United States to help them hire. We work with companies funded by the best investors including Sequoia Capital, Lightspeed Ventures, Tiger Global Management, A16Z, Accel, DFJ, and more.
https://www.recruitingfromscratch.com/
Our Client
As a Frontend engineer, you will play a key role in building software that empowers users to create secure multi-cloud resources. You will work closely with a talented team of developers, devops, and security professionals to reimagine how cloud resources are owned, managed, and secured.
We are looking for an entrepreneurial individual with a growth mindset and a passion for building fast, scalable, and reliable software. You should have experience in building resilient and beautiful UI and applications using technologies such as React, Javascript/Typescript, and build tools such as Vite/Webpack.
As an early stage startup backed by top investors, this is an exciting opportunity to have a significant impact an",Frontend Engineer postings typically ask you to: Collaborate closely with our backend developers to integrate UI components with backend APIs and databases. Build engaging UIs and write testab. Build the future of data. Build for scale and high performance.
c# net developer,C# Net Developer,engineering,130,12,,0,8.5,97.5,93.8,".NET, SQL, Jira, DevOps, Git, AWS",C#/.Net Developer,"Syms Strategic Group, LLC (SSG)","Syms Strategic Group (SSG)
is seeking a talented .
Net/C# Developer
Department:
Veterans Affairs
Type:
Full Time
Min. Experience:
Experienced
Security Clearance Level:
Public Trust (MBI)
Military Veterans are highly encouraged to apply!
Essential Duties And Responsibilities
.Net and/or C# experience required.
Performs code reviews.
Performs system maintenance and enhancements.
Designs and develops computer systems or programs, including prototypes, based on user defined requirements.
Writes code, programs, tests, and analyzes new application software.
Works more independently with IT functional units and business units.
Required Skills and Experience
8+ years’ .Net experience and/or
8+ years’ C# experience
SQL DB
GIT
AWS experience
JIRA Experience
Experience in a high paced DevOps environment
Experience in large scale Enterprise environments
U.S. Citizenship required for this position.
Professional Certifications
None required however AWS Cloud Certification is a plus
Years of Professional Experience
8+ years of C# development experience
8+ years of .NET development experience
AWS
GIT
Experience in large scale Enterprise environments
Desired experience
Electronic Data Interchange X","C# Net Developer postings typically ask you to: Ensure proper use of code analysis tools and assess automated security scans of code. Collaborate with cross-functional teams to design, develop, and deploy impactful products. Collaborate with stakeholders to gather and analyze business requirements, translating them into technical specifications. Implement and maintain Azure cloud services, ensuring scalability, availability, and reliability."
cloud engineer,Cloud Engineer,devops,127,96,137300.0,18,63.8,83.7,33.9,"Azure, AWS, DevOps, Terraform, Kubernetes, CI/CD",Sr Cloud Engineer II,Pacific Life,"Job Description
Pacific Life is maturing its cloud platforms to support its digital transformation journey. We are looking for a senior level cloud engineer that will help us build the capabilities for the organization to leverage cloud services safely, securely, and efficiently at scale. This individual will be part of a team of highly skilled cloud engineers who will help in building the next generation of cloud platforms at Pacific Life. They will be integral to the design and implementation of core cloud infrastructure, CI/CD pipelines for build and deploy, cloud governance platforms and controls, and the necessary automation and best-in-class tooling to support it. The individual will provide expert consultation and guidance to these key areas and help us build a world-class suite of cloud-enabled capabilities. The successful candidate will have proven experience in achieving these goals in a large and highly distributed enterprise organization. They should be a team player, great communicator, insatiable learner, and business-value oriented.
Essential Duties & Responsibilities
Deliver software programs, scripts, configuration files, and other programming artifacts as needed t","Cloud Engineer postings typically ask you to: Manage security and access controls of cloud-based solutions. Support cloud adoption of applications as they are being transformed and/or modernized. Configure and customize features to the infrastructure using Kubernetes, Docker, Jenkins, and other cloud-based tools. Perform systems management and integration functions."
technical support specialist,Technical Support Specialist,it_support,126,86,59750.0,13,26.2,32.7,38.9,"Windows, Active Directory, Excel, Salesforce, VMware, Firewalls",Technical Support Specialist,Motion Recruitment,"Technical Support Specialist
Onsite Logan, UT
12-Month Contract with The Opportunity for Extension or Conversion
Our client is looking for a Technical Support Specialist who will play a key role in the customer support function. As Technical Support you are expected to demonstrate strong technical knowledge and a customer service focus for a wide variety of technologies and applications.
What You Will Be Doing
A Technical Support Tier 1 employee responds to and resolves customer tickets that include questions, requests for services and technical troubleshooting.
Be the Hands and feet for the team- anything plugged into the network - contractor will be working on. Infrastructure – provide hands and feet to understand basics in the onsite environments.
Managing and troubleshooting Windows OS / Server environments
Managing, troubleshooting, and deploying printers
Required Skills & Experience
Some college-level training with specialized course work in computer science, personal computer operations or related subject; and A+ and one other technical certification
2-3+ years’ work experience involving computer hardware/software at a technical level.
Demonstrated proficiency with operating","Technical Support Specialist postings typically ask you to: Create service cases and work orders. Assist with product installation and initial troubleshooting, including software, network, and hardware issues. Provide Tier 2 technical product support, involving network switches. Research and provide accurate and complete information by using the provided methods/tools."
fullstack software engineer,FullStack Software Engineer,engineering,116,72,149700.0,29,75.0,64.5,26.7,"React, Java, JavaScript, AWS, Angular, TypeScript","Full Stack Software Engineer, Senior with Security Clearance",ClearanceJobs,"Job Number: R0183948 Full Stack Software Engineer, Senior
The Opportunity: As a full stack developer, you can resolve a problem with a complete end-to-end solution in a fast, gile environment. If you're looking for the chance to not just develop software, but to create a system that will make a difference, we need you on our team. We're looking for an experienced developer like you with the skills needed to develop software and systems from vision to production-ready. This role is more than just coding. As a senior full stack developer at Booz Allen, you'll use your passion to master new tools and techniques and identify needed system improvements. You'll help clients overcome their most difficult challenges using the latest architectural approaches, tools, and technologies. You'll make sure the solution developed by the team considers the current architecture and operating environment, as well as future functionality and enhancements. Work with us as we shape systems for the better. Join us. The world can't wait. You Have: * 5+ years of experience designing, modifying, developing, writing, and implementing software programming applications using Agile methods * 5+ years of experie","FullStack Software Engineer postings typically ask you to: Work with us as we shape systems for the better. Collaborate closely with cross-functional teams to integrate SCADA solutions seamlessly. Collaborate with cross-functional teams to understand requirements and translate them into robust, maintainable code. Lead the implementation of features across the entire softwar."
founding software engineer,Founding Software Engineer,engineering,113,19,150000.0,3,0.9,100.0,83.2,"React, Python, AWS, TypeScript, JavaScript, Machine Learning","Founding Software Engineer, Seed Stage",Recruiting from Scratch,"Who is Recruiting from Scratch :
Recruiting from Scratch is a premier talent firm that focuses on placing the best product managers, software, and hardware talent at innovative companies. Our team is 100% remote and we work with teams across the United States to help them hire. We work with companies funded by the best investors including Sequoia Capital, Lightspeed Ventures, Tiger Global Management, A16Z, Accel, DFJ, and more.
https://www.recruitingfromscratch.com/
About Our Client
Our client is on a mission to modernize the $220B+ Metal Service Center (MSC) industry – the backbone of America's industrial economy. Through our platform, we aim to transform the $1T metal value chain and digitize metal distribution throughout North America.
Metal Service Centers hold a pivotal position in the metal supply chain, processing and distributing half of the 88M tons of steel produced in the US annually. Essential industries depend on MSCs for everything from aircraft and skyscrapers to automobiles and medical devices. Despite their critical role, MSCs are held back by legacy software from the '70s and '80s, costing the industry over $10B in unrealized earnings each year.
Driven by their cu","Founding Software Engineer postings typically ask you to: Support for your personal and profes. Build and maintain technical documentation and diagrams for the codebase, APIs, and infrastructure. Provide mentorship, guidance, and technical leadership to other engineers on the team. Work with the co-founders to hire, manage, and grow the engineering team as the company scales."
